Index	Abbreviation	Full_Name	First_Level	Last_Level	Color
200	Tpt	temporo-parietal_area	5	6	#BFB156
201	parabelt	parabelt_areas_of_auditory_cortex	5	5	#804600
202	CPB	caudal_parabelt_region	6	6	#EBCB00
203	RPB	rostral_parabelt_region	6	6	#806039
204	core/belt	core_and_belt_areas_of_auditory_cortex	2	2	#B57F00
205	belt	belt_areas_of_auditory_cortex	3	3	#A36A00
206	lat_belt	lateral_belt_areas	4	4	#D9B100
207	CL/ML	caudal_areas_of_the_lateral_belt	5	5	#9E7324
208	CL	caudal_lateral_belt_region	6	6	#BF9D2C
209	ML	middle_lateral_belt_region	6	6	#E3FF73
210	AL/RTL	rostral_areas_of_the_lateral_belt	5	5	#FFF08C
211	AL	anterior_lateral_belt_region	6	6	#BF7000
212	RTL	lateral_rostrotemporal_belt_region	6	6	#803300
213	med_belt	medial_belt_areas	4	4	#805B39
214	CM	caudomedial_belt_region	5	6	#A85700
215	RM/RTM	rostral_areas_of_the_medial_belt	5	5	#944500
216	RM	rostromedial_belt_region	6	6	#E8A600
217	RTM	medial_rostrotemporal_belt_region	6	6	#BF962C
218	RTp	polar_rostrotemporal_cortex	3	6	#D48A00
219	core	core_areas_of_auditory_cortex	3	4	#FFC800
220	R/RT	rostral_areas_of_the_core	5	5	#F5FF3B
221	R	rostral_core_region	6	6	#FFB773
222	RT	rostrotemporal_core_region	6	6	#FFC48C
223	AI	primary_auditory_cortex	5	6	#BF5600
224	floor_of_ls	floor_of_the_lateral_sulcus	2	3	#FFAA00
225	Ins/Pi	insula_and_parainsula	4	4	#FF9F73
226	Pi	parainsula	5	6	#801E00
227	Ins	insula	5	5	#DE7A00
228	Ia/Id	agranular_and_dysgranular_insula	6	6	#9E3500
229	Ig	granular_insula	6	6	#805039
230	Ri	retroinsula	4	6	#FFB18C
231	Occipital	Occipital_Lobe	1	1	#FFD7A6
232	MT	middle_temporal_area	2	6	#FF583B
233	V2-V4	extrastriate_visual_areas_2-4	2	2	#FFB700
234	V4	visual_area_4	3	4	#BF4900
